"id","CHIIKIKBN","CHIIKIKBN_NAME","JUSHOCD","JUSHONAME","CHIIKINAME","5SAI","3SEDAI","YEAR","SEX","POPLATION","RESULT_ESTFLG"
596322,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"1995",1,"0",0
596324,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"1995",2,"0",0
596326,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2000",1,"1098",0
596328,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2000",2,"993",0
596330,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2005",1,"1104",0
596332,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2005",2,"911",0
596334,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2010",1,"1091",0
596336,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2010",2,"1013",0
596338,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2015",1,"2012",0
596340,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2015",2,"2043",0
596342,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2020",1,"2674",0
596344,5,"事務所管轄","10","市民課","東京都八王子市万町","15",2,"2020",2,"2580",0
596346,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1980",1,"0",0
596348,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1980",2,"0",0
596350,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1985",1,"0",0
596352,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1985",2,"0",0
596354,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1990",1,"0",0
596356,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1990",2,"0",0
596358,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1995",1,"0",0
596360,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"1995",2,"0",0
596362,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2000",1,"1624",0
596364,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2000",2,"1256",0
596366,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2005",1,"1402",0
596368,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2005",2,"1240",0
596370,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2010",1,"1440",0
596372,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2010",2,"1150",0
596374,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2015",1,"3167",0
596376,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2015",2,"2799",0
596378,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2020",1,"4391",0
596380,5,"事務所管轄","10","市民課","東京都八王子市万町","20",2,"2020",2,"4139",0
596382,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1980",1,"0",0
596384,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1980",2,"0",0
596386,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1985",1,"0",0
596388,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1985",2,"0",0
596390,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1990",1,"0",0
596392,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1990",2,"0",0
596394,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1995",1,"0",0
596396,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"1995",2,"0",0
596398,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2000",1,"2303",0
596400,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2000",2,"2011",0
596402,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2005",1,"2171",0
596404,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2005",2,"1758",0
596406,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2010",1,"2006",0
596408,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2010",2,"1837",0
596410,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2015",1,"3308",0
596412,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2015",2,"2549",0
596414,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2020",1,"4372",0
596416,5,"事務所管轄","10","市民課","東京都八王子市万町","25",2,"2020",2,"3757",0
596418,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1980",1,"0",0
596420,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1980",2,"0",0
596422,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1985",1,"0",0
596424,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1985",2,"0",0
596426,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1990",1,"0",0
596428,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1990",2,"0",0
596430,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1995",1,"0",0
596432,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"1995",2,"0",0
596434,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2000",1,"2705",0
596436,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2000",2,"2545",0
596438,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2005",1,"2997",0
596440,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2005",2,"2748",0
596442,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2010",1,"2869",0
596444,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2010",2,"2484",0
596446,5,"事務所管轄","10","市民課","東京都八王子市万町","30",2,"2015",1,"3475",0
