"CHIIKIKBN","JUSHOCD","CHIIKINAME","JUSHO","IDO","KEIDO"
"3","1190","恩方中学校","東京都八王子市上恩方町11","35.669846","139.242645"
"3","1200","川口中学校","東京都八王子市川口町2555","35.693882","139.283915"
"3","1210","楢原中学校","東京都八王子市楢原町1235","35.678657","139.313974"
"3","1220","加住中学校","東京都八王子市加住町1-191","35.701968","139.316862"
"3","1230","由井中学校","東京都八王子市片倉町553","35.644981","139.339840"
"3","1240","打越中学校","東京都八王子市打越町349-1","35.645365","139.357566"
"3","1250","みなみ野中学校","東京都八王子市みなみ野6-14-2","35.632243","139.322259"
"3","1260","七国中学校","東京都八王子市七国6-41-1","35.620736","139.322101"
"3","1270","浅川中学校","東京都八王子市初沢町1370","35.638505","139.279948"
"3","1280","陵南中学校","東京都八王子市東浅川町553-9","35.645524","139.293247"
"3","1290","由木中学校","東京都八王子市下柚木2-34-2","35.627023","139.385109"
"3","1300","松が谷中学校","東京都八王子市松が谷23","35.629876","139.417470"
"3","1310","中山中学校","東京都八王子市中山1158-1","35.624261","139.357956"
"3","1320","南大沢中学校","東京都八王子市南大沢3-7","35.608397","139.380446"
"3","1330","宮上中学校","東京都八王子市南大沢5-5","35.612846","139.373074"
"3","1340","別所中学校","東京都八王子市別所2-28","35.618821","139.400167"
"3","1350","上柚木中学校","東京都八王子市上柚木3-17","35.617599","139.370488"
"3","1360","松木中学校","東京都八王子市別所1-34-1","35.618055","139.391845"
"3","1370","鑓水中学校","東京都八王子市鑓水2-67","35.612505","139.359131"
"3","1380","高尾山学園中学部","東京都八王子市館町1097-30","35.624608","139.288662"
